PrimaryPropertyType,YearBuilt,NumberofBuildings,NumberofFloors,LargestPropertyUseType,LargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUseWN(kBtu),TotalGHGEmissions
Other,1966,1.0,1,Distribution Center,22201.0,19.0,870127.125,8.22
Warehouse,1916,1.0,3,Non-Refrigerated Warehouse,57910.0,41.0,2654698.5,43.17
Warehouse,1989,1.0,1,Non-Refrigerated Warehouse,22992.0,,2810298.5,19.88
Mixed Use Property,1931,1.0,1,Non-Refrigerated Warehouse,18871.0,,1898673.75,27.92
Other,1990,1.0,2,Medical Office,19987.0,36.0,2108861.75,14.7
Other,2009,1.0,3,Other,35115.0,,2053325.25,31.94
Warehouse,1969,1.0,1,Non-Refrigerated Warehouse,18854.0,,1063960.125,18.87
Mixed Use Property,1913,1.0,1,Parking,18000.0,59.0,1280845.875,26.52
Warehouse,1915,1.0,2,Non-Refrigerated Warehouse,43200.0,38.0,2061027.625,49.18
Small- and Mid-Sized Office,1913,1.0,4,Office,42800.0,71.0,3034711.5,46.85
Other,1954,1.0,1,Distribution Center,31476.0,,390592.0,7.74
Other,1965,1.0,1,Supermarket/Grocery Store,35042.0,42.0,9134359.0,219.93
Other,1946,1.0,1,Worship Facility,24295.0,53.0,227074.2969,1.51
Small- and Mid-Sized Office,1967,1.0,2,Office,20317.0,83.0,633770.5,4.33
Other,1973,1.0,1,Supermarket/Grocery Store,24377.0,6.0,10133933.0,260.32
Other,1986,1.0,1,Other,33392.0,,2786648.75,19.43
Warehouse,1966,1.0,1,Non-Refrigerated Warehouse,32040.0,3.0,2340055.75,41.77
Warehouse,1979,1.0,1,Non-Refrigerated Warehouse,29640.0,,1526335.25,43.18
Warehouse,1979,1.0,1,Non-Refrigerated Warehouse,32200.0,,2499644.75,64.75
Warehouse,1979,1.0,1,Non-Refrigerated Warehouse,47800.0,71.0,2567827.75,59.14
Warehouse,1979,1.0,1,Non-Refrigerated Warehouse,27850.0,55.0,1340563.125,39.05
Warehouse,1926,1.0,2,Non-Refrigerated Warehouse,15000.0,69.0,501439.6875,12.17
Other,1955,1.0,2,Other,21870.0,45.0,1067194.5,7.49
Small- and Mid-Sized Office,1970,1.0,3,Office,16855.0,26.0,1196289.375,7.98
Other,2002,1.0,2,Other,28303.0,,3611021.0,92.7
Warehouse,1982,1.0,2,Non-Refrigerated Warehouse,43556.0,80.0,320606.5938,2.15
Mixed Use Property,2004,1.0,5,Office,14452.0,,1080492.375,7.05
Other,1940,1.0,2,College/University,26393.0,,3023468.0,61.68
Warehouse,1941,1.0,1,Non-Refrigerated Warehouse,30889.0,49.0,2315404.0,61.6
Small- and Mid-Sized Office,2000,1.0,3,Office,43473.0,3.0,4416909.5,30.79
Retail Store,1990,1.0,1,Retail Store,40793.0,19.0,3766310.0,35.48
Retail Store,2005,1.0,1,Retail Store,32427.0,79.0,1761050.125,37.61
Mixed Use Property,1926,1.0,1,Other,12000.0,,3705229.5,152.14
Small- and Mid-Sized Office,1910,1.0,5,Office,32250.0,92.0,866241.875,11.44
Other,1935,1.0,2,Other - Entertainment/Public Assembly,11815.0,,1051152.375,17.45
Small- and Mid-Sized Office,1920,1.0,2,Office,20150.0,80.0,592196.6875,4.02
Warehouse,1938,1.0,2,Non-Refrigerated Warehouse,24300.0,,2880753.0,96.62
Warehouse,1926,1.0,1,Non-Refrigerated Warehouse,20000.0,18.0,877874.875,33.52
Other,2009,1.0,6,Senior Care Community,244500.0,100.0,11314740.0,292.8
Warehouse,1932,1.0,1,Non-Refrigerated Warehouse,22752.0,,109471.7969,0.75
Other,2009,1.0,3,Parking,84710.0,,3363692.75,22.62
Retail Store,1964,1.0,1,Retail Store,37247.0,69.0,1988034.875,58.36
Retail Store,1993,1.0,1,Retail Store,23468.0,11.0,3207111.5,77.23
Warehouse,1900,1.0,2,Non-Refrigerated Warehouse,32000.0,34.0,671037.375,25.15
Retail Store,1966,1.0,1,Retail Store,28734.0,88.0,12869714.0,413.1
Retail Store,1998,1.0,2,Retail Store,14168.0,15.0,1652954.75,11.69
Other,1980,1.0,1,Supermarket/Grocery Store,28470.0,27.0,6194518.0,42.24
Retail Store,1980,1.0,2,Retail Store,19271.0,25.0,1955353.0,13.22
Other,1928,1.0,2,Worship Facility,24120.0,66.0,1024822.188,31.54
Other,1929,1.0,3,Worship Facility,28970.0,88.0,1342448.875,51.15
Warehouse,1964,1.0,1,Non-Refrigerated Warehouse,33462.0,1.0,1386445.375,9.67
Other,1962,1.0,3,Other,34733.0,,4653535.0,32.44
Other,1991,1.0,2,Other,29640.0,,8224244.0,298.91
Other,1996,1.0,4,Self-Storage Facility,38959.0,,963968.1875,23.84
Warehouse,1928,1.0,2,Non-Refrigerated Warehouse,14150.0,,1218112.0,8.49
Other,1960,1.0,1,Other,25406.0,,2484501.5,41.96
Small- and Mid-Sized Office,1967,1.0,2,Office,22014.0,55.0,888432.5,6.3
Warehouse,1960,1.0,1,Non-Refrigerated Warehouse,30000.0,32.0,3246531.0,120.72
Mixed Use Property,2009,1.0,39,Other,311521.0,65.0,26932200.0,449.59
Other,1959,1.0,2,College/University,101035.0,,17612938.0,588.25
Other,1967,1.0,1,Other,22000.0,,2408141.75,17.22
Warehouse,1962,1.0,1,Non-Refrigerated Warehouse,33000.0,12.0,3344952.0,125.59
Warehouse,1956,1.0,1,Non-Refrigerated Warehouse,31184.0,75.0,1163530.25,36.82
Other,1906,1.0,1,Worship Facility,26440.0,91.0,826275.1875,27.93
Other,1956,1.0,2,Self-Storage Facility,28800.0,,1266706.875,29.44
Other,2009,4.0,2,K-12 School,31100.0,92.0,1300765.5,28.64
Other,1978,1.0,2,Other,13592.0,,3717064.0,97.27
Other,1921,1.0,2,Other - Entertainment/Public Assembly,26300.0,,3711173.0,116.94
Small- and Mid-Sized Office,1949,1.0,3,Office,21915.0,77.0,840549.375,5.86
Small- and Mid-Sized Office,1965,1.0,4,Office,29255.0,30.0,3840161.75,101.21
Other,1900,1.0,1,Worship Facility,21850.0,100.0,359962.5938,13.09
Mixed Use Property,1997,1.0,4,Other,12600.0,,1500695.375,34.62
Large Office,1983,1.0,13,Office,162422.0,,9691704.0,66.32
Hotel,1914,1.0,4,Hotel,45500.0,77.0,2934339.25,122.0
Small- and Mid-Sized Office,1900,1.0,4,Office,26639.0,,1355968.5,18.76
Warehouse,1968,1.0,2,Non-Refrigerated Warehouse,19749.0,,3930355.5,50.05
Small- and Mid-Sized Office,1900,1.0,3,Office,28142.0,96.0,911154.125,34.08
Other,1926,1.0,2,Other,36280.0,,4489734.5,69.53
Small- and Mid-Sized Office,1917,1.0,3,Office,29720.0,,1361277.25,25.53
Retail Store,1916,1.0,2,Retail Store,36940.0,100.0,336745.4063,2.35
Small- and Mid-Sized Office,1913,1.0,3,Office,22866.0,,1213909.875,20.76
Other,1962,1.0,2,Other,27022.0,,5078204.0,35.4
Hotel,1908,1.0,3,Hotel,21600.0,,4644346.0,190.45
Small- and Mid-Sized Office,1979,1.0,3,Office,24227.0,2.0,3605755.5,25.14
Other,1969,1.0,6,Senior Care Community,69035.0,1.0,7437745.0,183.79
Other,1900,1.0,1,Worship Facility,28725.0,,1259282.25,65.05
Warehouse,1960,1.0,1,Non-Refrigerated Warehouse,24000.0,,342696.3125,8.61
Small- and Mid-Sized Office,1989,1.0,7,Office,25884.0,,1552850.625,10.31
Other,1961,1.0,3,Other - Entertainment/Public Assembly,22960.0,,2447325.5,95.38
Other,1998,1.0,1,Supermarket/Grocery Store,44739.0,17.0,15006878.0,393.07
Other,1956,1.0,2,Worship Facility,21052.0,20.0,1000251.875,37.28
Other,1959,1.0,1,Other - Entertainment/Public Assembly,25753.0,,1612521.0,62.51
Other,1928,1.0,3,Other - Recreation,71280.0,,23204450.0,861.85
Mixed Use Property,2009,1.0,19,Office,319361.0,87.0,27917688.0,393.29
Other,1981,1.0,4,Other,15200.0,,1778251.875,49.79
Other,1994,1.0,3,Self-Storage Facility,66720.0,,742571.5,18.81
Other,1950,1.0,1,Other,34000.0,,3823703.75,58.79
Other,1938,1.0,2,K-12 School,15006.0,62.0,1331981.25,55.06
Mixed Use Property,1924,1.0,2,Other,8914.82,,2800725.0,91.69
Other,1904,1.0,3,K-12 School,48783.0,52.0,3928621.25,121.63
Other,1980,1.0,3,Other,25000.0,61.0,1469861.875,10.04
Small- and Mid-Sized Office,1960,1.0,2,Office,25481.0,92.0,1052797.5,38.59
Other,1967,1.0,1,Senior Care Community,141297.0,76.0,20378838.0,717.93
Small- and Mid-Sized Office,1912,1.0,2,Office,32610.0,73.0,2127889.25,35.99
Hotel,1990,1.0,4,Hotel,41704.0,73.0,1974631.125,58.52
Warehouse,1941,1.0,2,Non-Refrigerated Warehouse,21000.0,53.0,723060.1875,22.33
Other,1946,1.0,2,Other - Entertainment/Public Assembly,32000.0,,1886366.625,39.65
Small- and Mid-Sized Office,1922,1.0,3,Office,13175.0,84.0,1103795.25,12.57
Other,1961,1.0,2,Senior Care Community,56000.0,98.0,6412428.0,203.21
Other,1954,1.0,1,Senior Care Community,22583.0,95.0,2123591.75,70.92
Warehouse,1972,1.0,1,Non-Refrigerated Warehouse,25000.0,69.0,227509.5,1.59
Hotel,1992,1.0,3,Hotel,22452.0,85.0,1269576.0,41.88
Other,1912,1.0,2,Other,17434.0,22.0,1620383.625,11.02
Retail Store,1953,1.0,4,Retail Store,14585.0,75.0,1904055.75,38.21
Other,1927,1.0,2,Worship Facility,62400.0,,2846592.0,87.41
Warehouse,1979,1.0,2,Non-Refrigerated Warehouse,41275.0,38.0,4311327.5,48.13
Other,1957,1.0,1,Supermarket/Grocery Store,31174.0,29.0,9450746.0,226.73
Other,1950,1.0,1,Supermarket/Grocery Store,25828.0,37.0,7798479.5,156.18
Mixed Use Property,1976,1.0,2,Other,19183.0,17.0,1223177.375,8.09
Small- and Mid-Sized Office,1998,1.0,3,Office,20434.0,,6197824.5,43.21
Small- and Mid-Sized Office,1900,1.0,1,Office,20880.0,94.0,683274.0,4.76
Small- and Mid-Sized Office,1929,1.0,4,Office,32039.0,,5683758.0,185.33
Other,2010,1.0,2,Medical Office,25880.0,8.0,1956483.5,19.81
Other,1927,1.0,3,Worship Facility,32098.0,,1191549.25,37.43
Other,1950,1.0,3,Worship Facility,63922.0,83.0,1689227.75,47.03
Small- and Mid-Sized Office,1965,1.0,4,Office,40768.0,96.0,1507071.5,28.46
Other,1978,1.0,2,Worship Facility,27500.0,60.0,654455.1875,14.79
Small- and Mid-Sized Office,1930,1.0,2,Office,22000.0,90.0,541943.3125,3.78
Small- and Mid-Sized Office,1905,1.0,5,Office,44000.0,92.0,1664247.375,26.94
Other,1904,1.0,6,Other,29820.0,,1624991.375,35.72
Hotel,1925,1.0,4,Hotel,23193.0,49.0,5153234.0,173.67
Small- and Mid-Sized Office,2007,1.0,3,Office,26282.0,23.0,2250450.5,15.25
Small- and Mid-Sized Office,1909,1.0,3,Office,23059.0,,1439572.375,10.04
Retail Store,1917,1.0,2,Retail Store,13500.0,100.0,1031447.625,6.73
Other,1908,1.0,3,Other,13364.0,,1028277.313,34.61
Other,1924,1.0,3,Other,20686.0,,1321763.125,42.71
Other,1929,1.0,3,Other,22124.0,82.0,652060.0,4.45
Other,1926,1.0,4,Other,23616.0,55.0,1771038.0,53.65
Other,1976,1.0,3,Other,33448.0,78.0,1073833.25,6.96
Other,1987,1.0,2,Senior Care Community,74840.0,48.0,8485438.0,249.46
Other,1921,1.0,3,College/University,26000.0,,2737986.0,96.2
Other,1950,1.0,2,Other - Recreation,18489.0,,1816709.0,56.25
Other,1997,1.0,1,Supermarket/Grocery Store,30899.0,,13584036.0,404.21
Warehouse,1960,1.0,1,Non-Refrigerated Warehouse,41256.0,33.0,1529218.125,29.7
Small- and Mid-Sized Office,1969,1.0,1,Office,19785.0,66.0,1394293.5,27.06
Warehouse,1976,1.0,1,Non-Refrigerated Warehouse,21040.0,43.0,657383.1875,19.14
Warehouse,1951,1.0,2,Non-Refrigerated Warehouse,30000.0,52.0,1539819.875,46.61
Other,1974,1.0,1,Distribution Center,25620.0,82.0,652579.875,20.46
Warehouse,1992,1.0,3,Non-Refrigerated Warehouse,33238.0,14.0,1632472.0,11.38
Large Office,2000,1.0,6,Office,222807.0,82.0,13473994.0,92.52
Other,1998,1.0,1,Supermarket/Grocery Store,31746.0,22.0,8992072.0,206.33
Mixed Use Property,1961,1.0,2,Non-Refrigerated Warehouse,18400.0,,2477406.25,93.55
Other,1948,1.0,2,Other,47661.0,,5996179.5,41.7
Other,1997,1.0,1,Supermarket/Grocery Store,41447.0,18.0,14368231.0,364.27
Other,1938,1.0,3,Worship Facility,26373.0,75.0,1172287.125,38.18
Mixed Use Property,1947,1.0,2,Other - Entertainment/Public Assembly,8914.82,,1607972.25,51.89
Other,1921,1.0,3,Distribution Center,23040.0,,472415.4063,2.94
Other,1956,1.0,2,Other,34856.0,,5400237.5,37.97
Warehouse,1977,1.0,1,Non-Refrigerated Warehouse,14314.0,,404484.4063,2.62
Warehouse,1953,1.0,1,Non-Refrigerated Warehouse,27420.0,34.0,1129170.375,29.39
Other,1948,1.0,2,Other,28120.0,,1915150.75,67.15
Warehouse,1972,1.0,1,Non-Refrigerated Warehouse,23232.0,,127374.0,0.89
Warehouse,1974,1.0,1,Non-Refrigerated Warehouse,32546.0,100.0,1092979.75,17.65
Other,1961,1.0,1,Other,13349.0,,883072.875,14.19
Warehouse,1974,1.0,1,Non-Refrigerated Warehouse,42844.0,89.0,412764.8125,2.82
Small- and Mid-Sized Office,1995,1.0,3,Office,20410.0,8.0,2827857.0,77.84
Small- and Mid-Sized Office,1983,1.0,3,Office,18396.0,87.0,624125.625,4.35
Other,2002,1.0,1,Worship Facility,24955.0,47.0,773357.0,21.87
Other,1991,1.0,3,Other,34074.0,,8652913.0,286.33
Other,1988,1.0,2,K-12 School,32961.0,86.0,1719595.125,62.94
Other,2004,1.0,1,Other,12806.0,,1155795.125,26.67
Other,1911,1.0,3,Other,25200.0,,1407294.875,53.02
Other,1996,1.0,1,Supermarket/Grocery Store,46978.0,56.0,11943740.0,338.58
Mixed Use Property,1912,1.0,3,Office,12000.0,,952583.5,9.09
Small- and Mid-Sized Office,1920,1.0,3,Office,23422.0,65.0,2902229.0,128.07
Other,1975,4.180000000000064,2,Other,38879.0,,3564727.5,28.79
Mixed Use Property,1998,1.0,5,Other,22486.0,93.0,3518099.75,83.65
Small- and Mid-Sized Office,1925,1.0,2,Office,13917.0,97.0,1002986.375,7.31
Other,1924,1.0,2,Other,32580.0,,1623657.0,11.32
Retail Store,2000,1.0,3,Retail Store,54969.0,67.0,3770784.25,39.31
Small- and Mid-Sized Office,1958,1.0,3,Office,31822.0,73.0,2223401.5,54.02
Other,1953,1.0,2,Worship Facility,31805.0,10.0,1888861.125,68.39
Warehouse,1967,1.0,2,Non-Refrigerated Warehouse,12644.0,1.0,2235498.0,66.43
Other,1970,1.0,1,Other,43452.0,,9844836.0,119.76
Other,1971,1.0,1,Distribution Center,28320.0,1.0,4403066.5,67.96
Small- and Mid-Sized Office,1982,1.0,3,Office,19232.0,82.0,769771.8125,5.07
Small- and Mid-Sized Office,1988,1.0,2,Office,13600.0,7.0,1964622.625,38.71
Other,1985,1.0,2,Other,29527.0,,10148279.0,255.97
Warehouse,1965,1.0,1,Non-Refrigerated Warehouse,30800.0,65.0,485971.0,3.39
Mixed Use Property,1900,1.0,3,Other,11084.0,,1904848.25,49.44
Large Office,2000,1.0,11,Office,268130.0,88.0,15033874.0,106.86
Small- and Mid-Sized Office,2000,1.0,11,Office,61665.0,79.0,3979629.5,26.37
Large Office,2000,1.0,11,Office,281566.0,88.0,14709151.0,102.54
Other,1924,1.0,3,K-12 School,97500.0,97.0,4314753.5,156.45
Small- and Mid-Sized Office,1982,1.0,5,Office,54015.0,75.0,3020001.5,21.05
Other,2013,2.0,1,College/University,67750.0,,3778965.75,89.8
Other,2006,1.0,5,College/University,84300.0,,12581302.0,441.94
Retail Store,1991,1.0,3,Retail Store,103000.0,89.0,5390147.5,81.18
Other,2008,1.0,1,Supermarket/Grocery Store,37864.0,61.0,8257472.5,176.75
Other,1950,1.0,2,Supermarket/Grocery Store,66497.0,84.0,9290214.0,72.02
Retail Store,2006,1.0,4,Retail Store,38428.0,,3611326.75,24.82
Other,2006,1.0,4,Supermarket/Grocery Store,45980.0,79.0,8573323.0,193.36
Other,1991,1.0,1,Other,45000.0,,3769240.5,137.66
Other,1999,1.0,6,Parking,432903.0,,14658050.0,295.42
Warehouse,1940,1.0,0,Non-Refrigerated Warehouse,349953.0,69.0,16139557.0,391.7
Other,1960,1.0,0,Medical Office,28050.0,32.0,2279632.5,32.72
Small- and Mid-Sized Office,1985,1.0,6,Office,92723.0,84.0,4483478.0,30.03
Mixed Use Property,1966,4.180000000000064,1,Office,41097.0,,9271981.0,270.63
Other,2011,1.0,1,Supermarket/Grocery Store,51841.0,74.0,12081430.0,303.69
Small- and Mid-Sized Office,1993,1.0,1,Office,26263.0,64.0,1671740.25,11.4
Other,2000,1.0,8,Other,181930.0,,55068016.0,2549.47
Large Office,2005,1.0,4,Office,88698.0,,41225944.0,537.03
Other,2003,1.0,4,Supermarket/Grocery Store,33997.0,23.0,9086338.0,94.63
Other,1929,4.180000000000064,0,Other - Recreation,564258.0,,20672948.0,549.11
Other,2012,1.0,2,Other,53575.0,,31803568.0,619.9
Large Office,2012,1.0,6,Office,157345.0,63.0,11666007.0,92.07
Other,2012,1.0,7,Other,188118.0,72.0,9286532.0,191.97
Other,2012,2.0,2,Other,138602.0,,5574345.0,38.17
Other,2012,1.0,7,Other,160482.0,,42715544.0,1597.56
Other,2013,1.0,8,Other,241500.0,58.0,57764408.0,1789.69
Retail Store,1918,1.0,3,Retail Store,24588.0,67.0,4085534.75,144.41
Other,1987,1.0,6,Other,146363.0,,12145596.0,325.94
Other,2011,1.0,1,Supermarket/Grocery Store,67263.0,78.0,15210667.0,352.77
Other,2008,1.0,2,Worship Facility,70292.0,37.0,2145036.25,57.59
Other,1975,1.0,7,Other,60000.0,100.0,41680640.0,290.57
Other,2014,1.0,2,K-12 School,38000.0,22.0,2962615.25,51.59
Small- and Mid-Sized Office,2013,1.0,3,Office,47000.0,67.0,2626698.25,20.1
Other,2013,1.0,6,Senior Care Community,79805.0,25.0,7692164.0,184.81
Other,2014,1.0,2,K-12 School,63500.0,82.0,1695022.25,22.76
Other,2013,1.0,6,Other,318986.0,,26532170.0,809.76
Large Office,2014,1.0,7,Office,191333.0,,4644839.5,42.2
Other,2014,1.0,2,Other,24520.0,,544172.375,16.13
Other,2013,1.0,1,Other - Recreation,35361.0,,12442613.0,457.51
Other,1993,1.0,2,College/University,99765.0,,3372443.75,74.3
Other,1925,1.0,3,College/University,472384.0,,38977108.0,1280.81
Other,1920,1.0,8,Other,886524.7200000013,74.0,167207104.0,6330.91
Other,1989,1.0,3,Senior Care Community,38800.0,,2842128.0,58.28
Other,2010,1.0,8,Supermarket/Grocery Store,41198.0,44.0,7785876.5,82.58
Other,2014,1.0,1,Other,20983.0,,961628.625,10.8
Other,2009,1.0,0,Other,40265.0,,2261075.5,51.39
Other,1969,1.0,4,College/University,58779.0,,0.0,25.93
Other,2011,1.0,0,Other,176225.0,91.0,5209463.5,103.65
Other,1998,1.0,6,College/University,203030.0,,0.0,199.48
Other,1953,1.0,0,Other,166991.0,19.0,16591973.0,437.2
Other,1970,1.0,0,Other,89392.0,16.0,7483350.0,48.53
Other,2011,1.0,0,Other,97040.0,69.0,4075094.5,62.41
Large Office,2014,1.0,6,Office,427181.0,99.0,16810854.0,213.7
Small- and Mid-Sized Office,2015,1.0,5,Office,25927.0,,2346692.5,65.01
Large Office,2015,1.0,10,Office,359040.0,,18760766.0,214.19
Hotel,2015,1.0,14,Hotel,159500.0,89.0,5547964.5,50.32
Large Office,2014,1.0,12,Office,341897.0,99.0,12926544.0,147.14
Mixed Use Property,2014,1.0,2,Office,11745.0,,670291.0,4.38
Other,2015,1.0,2,Parking,202171.0,,5298717.5,91.98
Large Office,2015,1.0,12,Office,342173.0,98.0,14409447.0,202.12
Warehouse,1955,1.0,1,Non-Refrigerated Warehouse,52085.0,37.0,4182621.75,157.7
Small- and Mid-Sized Office,1929,1.0,2,Office,24990.0,9.0,4731813.5,134.8
Other,2013,1.0,1,Other - Recreation,72000.0,,3198858.0,67.65
Mixed Use Property,2015,1.0,6,Other,151523.0,,41078600.0,1000.06
Other,1962,1.0,1,College/University,68916.0,,3180819.25,22.17
Mixed Use Property,2005,1.0,1,Other - Recreation,9900.0,,636965.5,4.44
Other,2013,1.0,1,Other,11685.0,,969142.0,29.18
Other,1911,1.0,1,Other - Recreation,8914.82,,990545.5,24.73
Other,1972,1.0,1,Other - Recreation,10912.0,,5370263.5,216.18
Other,1912,1.0,1,Other - Recreation,23445.0,,6716330.0,259.22
Other,1982,1.0,1,Other - Recreation,18261.0,,1025432.125,20.33
Other,2004,1.0,1,Other - Recreation,16000.0,,1053705.75,32.17
Other,1974,1.0,1,Other - Recreation,8914.82,,6053764.5,223.54
Mixed Use Property,1989,1.0,1,Other - Recreation,8914.82,,782841.3125,22.11
Mixed Use Property,1938,1.0,1,Other - Recreation,8914.82,,1293722.375,41.27
